Hisse,Son Fiyat (TL),Değişim (%),Değişim (TL),Hacim (TL),Hacim (Adet),
GOODY,20,54,-2,00,-0,42,36.498.930,1.754.412,
ALKIM,28,52,-0,97,-0,28,31.150.680,1.082.085,
CELHA,29,50,1,17,0,34,5.257.995,178.607,
RAYSG,22,66,5,99,1,28,29.904.806,1.327.621,
GLRYH,8,61,-3,37,-0,30,15.289.413,1.739.009,
BLCYT,12,29,4,24,0,50,25.004.030,2.087.023,
BTCIM,40,04,-0,89,-0,36,9.626.931,240.376,
KOZAL,22,18,-1,86,-0,42,1.693.227.311,74.642.864,
DOCO,3.574,10,5,03,171,30,48.901.848,13.776,
YAYLA,4,95,-0,80,-0,04,5.128.579,1.027.693,
TTKOM,19,49,1,19,0,23,1.553.696.026,79.484.570,
ULAS,16,00,-2,68,-0,44,5.060.886,310.907,
KUYAS,35,30,2,14,0,74,117.573.592,3.340.834,
DZGYO,2,96,0,00,0,00,10.810.068,3.622.313,
PKENT,114,60,0,17,0,20,10.290.638,89.362,
UMPAS,3,17,-0,31,-0,01,323.245,101.918,
VESTL,48,12,-0,95,-0,46,244.818.103,5.012.668,
TRGYO,16,59,-0,24,-0,04,22.418.741,1.351.285,
TCELL,35,72,-0,11,-0,04,1.539.312.621,42.337.518,
GEDIK,9,03,0,11,0,01,10.906.149,1.199.671,
BJKAS,18,95,1,34,0,25,193.076.840,10.350.726,
ESCOM,30,90,0,65,0,20,28.120.802,899.869,
MAALT,390,00,-1,39,-5,50,41.427.302,104.813,
DITAS,27,74,1,24,0,34,2.971.610,106.086,
PETKM,14,51,-0,89,-0,13,1.057.309.926,71.743.806,
BURCE,142,30,-9,99,-15,80,18.109.421,126.381,
SISE,42,24,-0,05,-0,02,2.135.722.313,50.090.585,
OSMEN,101,50,-1,84,-1,90,82.555.347,774.895,
ISBIR,73,00,1,96,1,40,676.581,9.402,
FRIGO,5,67,-0,53,-0,03,5.289.616,931.204,
CEMTS,8,66,0,12,0,01,58.938.298,6.748.362,
GOZDE,13,11,0,92,0,12,56.353.809,4.265.048,
YUNSA,112,70,2,83,3,10,99.226.471,878.881,
VKFYO,18,92,-9,99,-2,10,32.486.838,1.522.018,
CMENT,59,05,0,00,0,00,441.625,7.525,
MGROS,201,10,1,06,2,10,673.162.697,3.325.899,
